epoch,avg_loss,mAP
1,1.0623190194368362,0.0898948684334755
2,0.7016099102795124,0.14164575934410095
3,0.645625327527523,0.17185203731060028
4,0.6380839049816132,0.17908695340156555
5,0.6253792837262153,0.19865551590919495
6,0.5790488857775926,0.212593212723732
7,0.5573756664991378,0.1833898425102234
8,0.5924759700894355,0.22110290825366974
9,0.5571687936782836,0.22125083208084106
10,0.5607955977320671,0.21478013694286346
11,0.5487916216254234,0.20674005150794983
